;zmean;zsd;zskew;zkurt;zentropy;itot;imean;isd;iskew;ikurt;ipcumzq10;ipcumzq30;ipcumzq50;ipcumzq70;ipcumzq90;dtm;aspect;slope
51811;0.0761939896704749;0.0737228881393037;0.262215081089091;0.0156322370497877;0.604113581972011;0.0346173223460367;0.170580429766741;0.123001204462857;0.229289822612399;0.0287541048563238;0.343036102939747;0.445776440752999;0.47273120824717;0.431550902981199;0.528238987695142;0.218852284880702;0.228724480295446;0.527343447998061
352436;0.0802887789821555;0.0745183457782761;0.304948340670601;0.0163749272768034;0.70526469268381;0.0455544809184526;0.110248631139005;0.0878089534310515;0.295093438734481;0.055659225337974;0.320971794495717;0.429189829398954;0.458553987007271;0.471609025440842;0.644799747230946;0.767812026061556;0.120086812705377;0.706389723762643
394601;0.0957834488354581;0.0806866414698352;0.324787763648503;0.0083700556091213;0.715694319536324;0.0110298471456004;0.0934620324207826;0.0652611458683292;0.200174479496535;0.0193623109481827;0.3256796689472;0.338545263637368;0.378376323622753;0.40981000704058;0.725927447456429;0.768267965997784;0.23914336975452;0.761526053840695
61551;0.0933764573655084;0.0780385786515481;0.295821756501804;0.0147140731506009;0.750301093284626;0.0121212775202105;0.0573723775507273;0.0394195566822432;0.205928153489881;0.025859074812;0.388965425340162;0.485968978859338;0.658922245159606;0.768147900271778;0.932450408696908;0.0729177763187043;0.0131317522690685;0.607334577474971
240846;0.403859366542556;0.412786958082823;0.306580018626684;0.0090578062687124;0.942058862983237;0.0202685365403221;0.0358633613010739;0.0314130264212374;0.323124673507235;0.0915161749110483;0.534057761444154;0.534163918403862;0.566431650439699;0.564005220971896;0.688341915355587;0.314442269628779;0.344338081519837;0.666545695556548
56717;0.107431339939387;0.0542193260946388;0.270065330879395;0.0353577936664395;0.572511758346131;0.0243935315369274;0.111405339072989;0.0445357638051699;0.115616760738413;0.0105658879694392;0.218772930196265;0.312924404801119;0.356299974396373;0.404379558198388;0.583363171839682;0.043316246053252;0.528246739925394;0.132616176209606
89903;0.18306683789778;0.154371939829371;0.294810015954475;0.0093319283391057;0.806589783767179;0.0261613878120027;0.0672740835472655;0.041918659467964;0.236547463055578;0.0412861471866173;0.664087902397214;0.573253825451387;0.508788105664426;0.392771430165882;0.408616121146249;0.0515011762840896;0.466740179342033;0.235671209924779
416805;0.010142648371175;0.037157794328333;0.368121645984757;0.0065505933755641;0.641374642064636;0.0306391088124486;0.173310888407477;0.120860622489848;0.275884572755614;0.051152538817161;0.325926325955889;0.429723557377539;0.467354249250383;0.478109637669863;0.70545110721069;0.966526102187802;0.224821311208874;0.617244110696141
2599;0.29784022629368;0.0902112131476932;0.223953402837899;0.071368338222218;0.576700077238355;0.0108601656359815;0.0973564669394888;0.0596297774804884;0.231998366399713;0.0406128411735225;0.170595532088733;0.355207634804964;0.449763462033914;0.460925046705327;0.710321891529094;0.348866015154676;0.0853063501458837;0.315680421886884
379210;0.237409959550127;0.30404911193742;0.302641502170758;0.0079976235562105;0.943817898822661;0.255585315846643;0.19849999750734;0.227963361948421;0.371916597987969;0.0949468500611538;0.291560112101738;0.348394693817745;0.375513271180007;0.396100693802253;0.483132471522865;0.919926678014223;0.545369090276248;0.551920067412874
